Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
49.64	3.864
49.64	3.864
49.64	3.864
49.64	3.866
49.64	3.866
49.64	3.864
49.64	3.866
49.64	3.866
49.64	3.866
49.64	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.866
49.63	3.864
49.62	3.864
49.63	3.864
49.62	3.864
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.61	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.62	3.866
49.61	3.866
49.61	3.866
49.61	3.866
49.62	3.866
49.61	3.866
49.61	3.866
49.62	3.866
49.61	3.866
49.61	3.866
49.61	3.866
49.61	3.866
49.61	3.866
49.6	3.866
49.61	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.866
49.6	3.864
49.6	3.864
49.6	3.864
49.6	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.864
49.59	3.866
49.59	3.866
49.59	3.866
49.59	3.866
49.59	3.864
49.59	3.864
49.59	3.866
49.59	3.866
49.58	3.866
49.59	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.58	3.866
49.57	3.864
49.57	3.864
49.57	3.864
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.57	3.866
49.56	3.866
49.56	3.864
49.56	3.864
49.56	3.864
49.56	3.864
49.56	3.866
49.56	3.864
49.56	3.864
49.56	3.864
49.55	3.864
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.866
49.55	3.864
49.55	3.864
49.54	3.864
49.55	3.864
49.55	3.864
49.55	3.864
49.54	3.864
49.54	3.864
49.54	3.864
49.54	3.864
49.54	3.866
49.54	3.866
49.54	3.866
49.54	3.866
49.54	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.866
49.53	3.864
49.53	3.864
49.53	3.864
49.52	3.864
49.52	3.864
49.52	3.864
49.52	3.864
49.52	3.866
49.52	3.866
49.52	3.866
49.52	3.866
49.52	3.866
49.52	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.864
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.5	3.866
49.51	3.866
49.5	3.866
49.51	3.866
49.51	3.866
49.51	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.49	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.5	3.866
49.49	3.866
49.49	3.866
49.49	3.864
49.49	3.864
49.49	3.864
49.49	3.864
49.49	3.864
49.49	3.864
49.48	3.864
49.48	3.864
49.48	3.864
49.48	3.864
49.48	3.864
49.48	3.866
49.48	3.866
49.48	3.866
49.48	3.866
49.48	3.866
49.48	3.866
49.48	3.864
49.48	3.864
49.48	3.864
49.48	3.864
49.48	3.866
49.48	3.866
49.48	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.47	3.866
49.46	3.866
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.864
49.46	3.863
49.46	3.863
49.45	3.863
49.45	3.864
49.46	3.864
49.46	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.46	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.864
49.45	3.863
49.45	3.863
49.45	3.863
49.45	3.863
49.45	3.863
49.45	3.863
49.44	3.864
49.44	3.864
49.44	3.864
49.44	3.864
49.44	3.864
49.44	3.864
49.44	3.864
49.44	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.43	3.864
49.42	3.864
49.43	3.864
49.43	3.863
49.42	3.863
49.42	3.863
49.42	3.863
49.43	3.863
49.42	3.863
49.42	3.863
49.42	3.863
49.42	3.863
49.42	3.864
49.42	3.864
49.42	3.864
49.42	3.864
49.42	3.864
49.42	3.864
49.42	3.864
49.41	3.864
49.42	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.864
49.41	3.866
49.41	3.866
49.41	3.866
49.41	3.866
49.41	3.866
49.41	3.866
49.41	3.866
49.41	3.864
49.41	3.866
49.4	3.866
49.41	3.866
49.4	3.864
49.4	3.864
49.4	3.866
49.4	3.866
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.4	3.864
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.863
49.39	3.864
49.39	3.864
49.39	3.864
49.39	3.863
49.38	3.864
49.39	3.864
49.39	3.864
49.39	3.864
49.38	3.864
49.38	3.864
49.38	3.864
49.38	3.864
49.38	3.864
49.38	3.866
49.38	3.866
49.38	3.866
49.38	3.866
49.38	3.866
49.38	3.866
49.38	3.864
49.38	3.864
49.38	3.864
49.37	3.864
49.38	3.864
49.37	3.864
49.37	3.864
49.37	3.864
49.37	3.864
49.37	3.864
49.37	3.863
49.37	3.863
49.37	3.863
49.37	3.863
49.37	3.863
49.36	3.863
49.37	3.863
49.36	3.863
49.36	3.863
49.36	3.863
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.864
49.36	3.863
49.36	3.863
49.36	3.863
49.36	3.864
49.36	3.864
49.35	3.864
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.863
49.35	3.864
49.35	3.863
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.35	3.864
49.34	3.864
49.34	3.864
49.34	3.864
49.34	3.864
49.34	3.864
49.34	3.864
49.34	3.864
49.33	3.864
49.33	3.864
49.33	3.864
49.33	3.864
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.33	3.863
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.864
49.32	3.864
49.32	3.864
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.863
49.32	3.864
49.32	3.863
49.31	3.863
49.31	3.864
49.32	3.864
49.32	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.31	3.864
49.3	3.864
49.3	3.864
49.3	3.864
49.31	3.864
49.3	3.863
49.3	3.864
49.3	3.864
49.3	3.863
49.3	3.863
49.3	3.863
49.3	3.863
49.3	3.863
49.3	3.863
49.3	3.863
49.3	3.864
49.3	3.863
49.3	3.863
49.3	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.863
49.29	3.862
49.29	3.862
49.29	3.862
49.29	3.862
49.29	3.862
49.29	3.862
49.28	3.863
49.28	3.863
49.28	3.863
49.28	3.863
49.28	3.863
49.28	3.863
49.28	3.864
49.28	3.864
49.28	3.863
49.28	3.863
49.28	3.864
49.28	3.864
49.27	3.864
49.27	3.863
49.27	3.863
49.27	3.864
49.28	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.27	3.866
49.26	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.27	3.864
49.26	3.864
49.27	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.26	3.864
49.25	3.864
49.26	3.864
49.25	3.864
49.26	3.864
49.25	3.864
49.26	3.864
49.25	3.864
49.25	3.864
49.25	3.864
49.25	3.863
49.25	3.863
49.25	3.863
49.25	3.863
49.25	3.863
49.25	3.864
49.24	3.864
49.25	3.863
49.25	3.863
49.24	3.863
49.25	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.24	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.23	3.863
49.22	3.864
49.22	3.864
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.863
49.22	3.864
49.22	3.864
49.22	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.21	3.864
49.2	3.864
49.2	3.864
49.2	3.864
49.2	3.864
49.2	3.864
49.2	3.864
49.2	3.864
49.19	3.864
49.2	3.864
49.19	3.864
49.19	3.864
49.19	3.864
49.19	3.864
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.19	3.863
49.18	3.863
49.19	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.863
49.18	3.864
49.18	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.864
49.17	3.863
49.17	3.863
49.17	3.863
49.17	3.863
49.17	3.863
49.17	3.863
49.16	3.863
49.16	3.863
49.16	3.863
49.16	3.863
49.16	3.863
49.16	3.863
49.16	3.863
49.15	3.863
49.15	3.863
49.16	3.863
49.15	3.863
49.15	3.863
49.15	3.863
49.15	3.863
49.15	3.863
49.15	3.863
49.15	3.863
49.16	3.863
49.15	3.863
49.15	3.863
49.15	3.862
49.15	3.862
49.15	3.862
49.15	3.862
49.15	3.862
49.15	3.862
49.14	3.862
49.14	3.862
49.15	3.862
49.14	3.863
49.14	3.863
49.14	3.862
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.14	3.863
49.13	3.862
49.13	3.862
49.13	3.862
49.14	3.862
49.14	3.862
49.14	3.862
49.14	3.862
49.14	3.862
49.13	3.862
49.13	3.862
49.13	3.862
49.13	3.862
49.13	3.862
49.13	3.863
49.13	3.863
49.13	3.863
49.12	3.863
49.12	3.863
49.12	3.862
49.12	3.862
49.12	3.863
49.12	3.863
49.12	3.863
49.12	3.862
49.12	3.862
49.12	3.862
49.12	3.862
49.12	3.862
49.12	3.862
49.11	3.862
49.12	3.862
49.11	3.862
49.11	3.862
49.12	3.863
49.12	3.863
49.12	3.863
49.11	3.863
49.11	3.863
49.11	3.863
49.11	3.863
49.11	3.863
49.11	3.863
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.864
49.11	3.863
49.1	3.863
49.1	3.864
49.1	3.863
49.1	3.863
49.1	3.863
49.1	3.863
49.1	3.862
49.1	3.862
49.1	3.862
49.1	3.862
49.1	3.862
49.1	3.862
49.1	3.862
49.1	3.861
49.09	3.862
49.09	3.862
49.09	3.862
49.1	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.09	3.862
49.08	3.863
49.08	3.862
49.08	3.862
49.08	3.862
49.08	3.863
49.08	3.862
49.08	3.862
49.08	3.862
49.08	3.863
49.08	3.862
49.08	3.862
49.08	3.862
49.08	3.862
49.08	3.862
49.07	3.862
49.07	3.862
49.07	3.862
49.07	3.862
49.07	3.862
49.07	3.862
49.07	3.863
49.07	3.863
49.07	3.862
49.07	3.863
49.07	3.863
49.07	3.863
49.07	3.863
49.07	3.863
49.07	3.863
49.06	3.863
49.06	3.862
49.06	3.863
49.06	3.863
49.06	3.862
49.06	3.862
49.06	3.862
49.06	3.862
49.06	3.862
49.06	3.862
49.06	3.862
49.06	3.862
49.05	3.862
49.05	3.862
49.06	3.862
49.05	3.862
49.05	3.862
49.05	3.863
49.05	3.862
49.05	3.862
49.05	3.863
