Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
47.62	2.941
47.62	2.994
47.62	2.989
47.62	2.991
47.62	2.979
47.63	2.984
47.62	2.988
47.62	2.995
47.62	2.99
47.63	2.991
47.63	2.989
47.63	2.989
47.63	2.988
47.63	2.99
47.63	2.984
47.63	2.984
47.63	2.988
47.63	2.979
47.63	2.978
47.63	2.969
47.63	2.98
47.63	2.977
47.63	2.987
47.63	2.991
47.63	2.991
47.63	2.974
47.63	2.982
47.63	2.987
47.63	2.99
47.63	2.99
47.63	2.99
47.63	2.991
47.63	2.991
47.63	2.988
47.63	2.987
47.63	2.987
47.63	2.987
47.63	2.985
47.63	2.987
47.62	2.987
47.62	2.985
47.62	2.985
47.63	2.985
47.63	2.984
47.62	2.984
47.62	2.985
47.62	2.984
47.62	2.984
47.62	2.985
47.62	2.985
47.63	2.985
47.63	2.987
47.62	2.985
47.62	2.985
47.62	2.987
47.63	2.987
47.62	2.988
47.62	2.988
47.62	2.988
47.62	2.988
47.62	2.988
47.62	2.988
47.62	2.987
47.62	2.987
47.62	2.988
47.62	2.987
47.62	2.988
47.62	2.987
47.62	2.987
47.61	2.987
47.62	2.987
47.61	2.987
47.62	2.987
47.61	2.987
47.62	2.987
47.61	2.987
47.61	2.987
47.61	2.987
47.61	2.987
47.61	2.985
47.61	2.985
47.61	2.985
47.61	2.985
47.61	2.987
47.61	2.987
47.61	2.987
47.61	2.987
47.61	2.988
47.61	2.987
47.61	2.987
47.61	2.987
47.61	2.985
47.61	2.985
47.61	2.985
47.61	2.984
47.61	2.985
47.61	2.985
47.61	2.985
47.61	2.985
47.61	2.985
47.6	2.985
47.61	2.985
47.6	2.985
47.6	2.985
47.6	2.985
47.6	2.984
47.6	2.985
47.6	2.984
47.6	2.985
47.6	2.985
47.6	2.985
47.6	2.985
47.6	2.985
47.6	2.985
47.6	2.987
47.6	2.987
47.6	2.987
47.6	2.987
47.6	2.987
47.6	2.985
47.6	2.985
47.6	2.985
47.59	2.985
47.6	2.985
47.6	2.985
47.6	2.987
47.6	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.987
47.59	2.985
47.59	2.985
47.59	2.987
47.59	2.987
47.59	2.985
47.59	2.987
47.59	2.987
47.58	2.987
47.58	2.987
47.58	2.985
47.59	2.985
47.58	2.985
47.58	2.985
47.58	2.987
47.58	2.987
47.58	2.987
47.58	2.988
47.58	2.988
47.58	2.988
47.58	2.988
47.58	2.988
47.58	2.987
47.58	2.987
47.58	2.985
47.58	2.985
47.58	2.985
47.57	2.985
47.57	2.985
47.57	2.985
47.57	2.987
47.57	2.985
47.57	2.985
47.57	2.987
47.57	2.985
47.57	2.985
47.57	2.985
47.57	2.985
47.57	2.985
47.57	2.985
47.57	2.987
47.57	2.987
47.57	2.987
47.57	2.987
47.56	2.987
47.56	2.987
47.56	2.987
47.56	2.987
47.56	2.987
47.56	2.987
47.56	2.985
47.56	2.985
47.56	2.985
47.56	2.985
47.56	2.985
47.56	2.985
47.56	2.985
47.55	2.985
47.55	2.985
47.55	2.985
47.56	2.985
47.56	2.987
47.56	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.987
47.55	2.985
47.55	2.985
47.55	2.985
47.55	2.987
47.55	2.987
47.55	2.987
47.54	2.987
47.54	2.988
47.54	2.987
47.54	2.988
47.54	2.988
47.54	2.987
47.54	2.988
47.54	2.987
47.54	2.987
47.54	2.988
47.54	2.987
47.54	2.987
47.54	2.987
47.53	2.987
47.54	2.987
47.54	2.987
47.53	2.987
47.53	2.987
47.54	2.987
47.54	2.987
47.53	2.987
47.53	2.987
47.53	2.985
47.53	2.985
47.53	2.987
47.53	2.985
47.53	2.985
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.53	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.987
47.52	2.988
47.52	2.988
47.52	2.988
47.52	2.988
47.52	2.988
47.52	2.988
47.52	2.988
47.52	2.988
47.51	2.988
47.52	2.987
47.51	2.987
47.51	2.987
47.51	2.985
47.51	2.985
47.51	2.985
47.51	2.985
47.51	2.985
47.51	2.985
47.51	2.987
47.5	2.987
47.5	2.987
47.51	2.988
47.5	2.988
47.5	2.988
47.5	2.988
47.5	2.988
47.5	2.988
47.5	2.988
47.5	2.987
47.5	2.987
47.5	2.987
47.5	2.987
47.5	2.985
47.49	2.985
47.5	2.985
47.5	2.985
47.5	2.985
47.49	2.985
47.49	2.987
47.49	2.987
47.49	2.987
47.49	2.987
47.49	2.987
47.49	2.987
47.49	2.987
47.49	2.987
47.48	2.987
47.49	2.985
47.48	2.987
47.49	2.987
47.48	2.987
47.48	2.987
47.48	2.987
47.48	2.987
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.988
47.48	2.987
47.48	2.987
47.47	2.987
47.47	2.985
