Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
50.13	3.575
50.13	3.575
50.13	3.575
50.13	3.575
50.13	3.575
50.13	3.576
50.13	3.576
50.13	3.576
50.13	3.576
50.12	3.575
50.13	3.575
50.12	3.575
50.12	3.575
50.12	3.575
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.576
50.12	3.575
50.12	3.575
50.12	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.11	3.575
50.1	3.575
50.1	3.574
50.11	3.574
50.11	3.575
50.1	3.575
50.1	3.575
50.1	3.575
50.1	3.576
50.1	3.576
50.1	3.575
50.1	3.576
50.1	3.576
50.1	3.575
50.1	3.575
50.1	3.574
50.1	3.574
50.09	3.574
50.09	3.573
50.09	3.574
50.09	3.574
50.09	3.574
50.09	3.574
50.09	3.574
50.09	3.575
50.09	3.575
50.09	3.575
50.09	3.575
50.09	3.575
50.09	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.08	3.574
50.08	3.574
50.08	3.574
50.08	3.574
50.08	3.575
50.07	3.575
50.08	3.575
50.08	3.575
50.08	3.575
50.07	3.575
50.07	3.575
50.07	3.575
50.07	3.575
50.07	3.574
50.07	3.574
50.07	3.574
50.07	3.573
50.07	3.574
50.07	3.574
50.07	3.574
50.06	3.573
50.06	3.573
50.06	3.574
50.06	3.574
50.06	3.574
50.06	3.575
50.06	3.575
50.06	3.575
50.06	3.575
50.06	3.575
50.06	3.574
50.06	3.574
50.05	3.575
50.06	3.575
50.06	3.576
50.05	3.576
50.05	3.576
50.05	3.575
50.05	3.575
50.05	3.574
50.05	3.575
50.05	3.575
50.05	3.575
50.05	3.575
50.05	3.575
50.05	3.575
50.05	3.575
50.04	3.574
50.04	3.575
50.05	3.575
50.04	3.576
50.04	3.576
50.04	3.576
50.04	3.576
50.04	3.578
50.04	3.576
50.04	3.576
50.03	3.576
50.04	3.576
50.04	3.575
50.03	3.575
50.03	3.575
50.03	3.575
50.03	3.575
50.03	3.574
50.03	3.575
50.03	3.575
50.03	3.575
50.03	3.574
50.03	3.574
50.03	3.574
50.03	3.575
50.03	3.575
50.03	3.575
50.03	3.575
50.02	3.575
50.02	3.575
50.03	3.574
50.03	3.575
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.575
50.02	3.575
50.02	3.575
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.576
50.02	3.575
50.01	3.575
50.02	3.575
50.01	3.575
50.01	3.576
50.01	3.575
50.01	3.575
50.02	3.575
50.02	3.574
50.02	3.575
50.02	3.575
50.01	3.576
50.01	3.576
50.01	3.576
50	3.578
50.01	3.576
50.01	3.575
50.01	3.575
50.01	3.574
50	3.574
50	3.574
50	3.575
50	3.575
50	3.576
50	3.578
50	3.576
50	3.576
50	3.575
49.99	3.575
50	3.575
50	3.576
49.99	3.576
49.99	3.578
49.99	3.578
49.99	3.578
49.99	3.578
49.99	3.578
49.99	3.576
49.99	3.576
49.99	3.576
49.99	3.576
49.99	3.576
49.98	3.576
49.98	3.576
49.99	3.576
49.98	3.576
49.99	3.576
49.98	3.576
49.98	3.575
49.98	3.575
49.98	3.576
49.98	3.576
49.98	3.576
49.97	3.576
49.98	3.576
49.98	3.575
49.98	3.575
49.97	3.575
49.97	3.575
49.97	3.575
49.97	3.575
49.97	3.575
49.96	3.575
49.97	3.574
49.96	3.575
49.96	3.575
49.96	3.576
49.97	3.575
49.96	3.575
49.96	3.575
49.96	3.575
49.96	3.575
49.96	3.575
49.96	3.575
49.96	3.575
49.95	3.575
49.95	3.574
49.95	3.574
49.95	3.574
49.95	3.575
49.95	3.575
49.95	3.576
49.95	3.576
49.95	3.575
49.95	3.575
49.95	3.575
49.95	3.575
49.94	3.576
49.94	3.576
49.95	3.576
49.95	3.576
49.94	3.576
49.94	3.576
49.94	3.576
49.94	3.575
49.94	3.576
49.94	3.576
49.94	3.576
49.93	3.575
49.94	3.575
49.93	3.575
49.94	3.575
49.93	3.575
49.93	3.575
49.93	3.575
49.93	3.576
49.93	3.576
49.93	3.576
49.93	3.576
49.93	3.576
49.93	3.575
49.92	3.575
49.93	3.575
49.93	3.575
49.92	3.575
49.92	3.575
49.92	3.574
49.92	3.574
49.92	3.574
49.92	3.574
49.92	3.575
49.92	3.575
49.92	3.575
49.92	3.576
49.92	3.576
49.92	3.576
49.91	3.576
49.91	3.575
49.91	3.574
49.91	3.574
49.91	3.574
49.91	3.575
49.91	3.575
49.91	3.575
49.91	3.576
49.91	3.576
49.91	3.576
49.9	3.576
49.9	3.576
49.9	3.576
49.9	3.576
49.9	3.575
49.9	3.576
49.9	3.576
49.9	3.578
49.9	3.578
49.9	3.578
49.89	3.576
49.9	3.576
49.9	3.576
49.89	3.576
49.89	3.578
49.89	3.579
49.89	3.579
49.89	3.579
49.89	3.579
49.89	3.578
49.89	3.576
49.88	3.575
49.88	3.574
49.88	3.575
49.88	3.575
49.88	3.575
49.88	3.576
49.88	3.576
49.88	3.576
49.88	3.576
49.88	3.578
49.88	3.576
49.88	3.576
49.88	3.576
49.88	3.576
49.87	3.578
49.87	3.578
49.87	3.578
49.87	3.578
49.87	3.576
49.86	3.576
49.87	3.576
49.86	3.576
49.86	3.576
49.86	3.576
49.86	3.576
49.86	3.575
