Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
50.13	3.322
50.13	3.322
50.13	3.322
50.13	3.322
50.13	3.322
50.13	3.322
50.13	3.322
50.13	3.322
50.12	3.322
50.12	3.321
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.321
50.12	3.321
50.12	3.321
50.12	3.322
50.12	3.322
50.12	3.322
50.12	3.322
50.11	3.322
50.11	3.322
50.11	3.322
50.11	3.321
50.11	3.321
50.11	3.321
50.11	3.321
50.11	3.321
50.11	3.321
50.11	3.322
50.11	3.321
50.11	3.321
50.1	3.321
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.1	3.32
50.09	3.32
50.1	3.32
50.09	3.32
50.09	3.32
50.09	3.32
50.1	3.32
50.09	3.32
50.09	3.321
50.09	3.321
50.09	3.321
50.09	3.321
50.09	3.321
50.09	3.321
50.09	3.321
50.08	3.32
50.09	3.321
50.09	3.32
50.08	3.32
50.09	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.319
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.08	3.32
50.07	3.32
50.07	3.32
50.07	3.32
50.08	3.32
50.07	3.32
50.07	3.32
50.07	3.319
50.07	3.319
50.07	3.319
50.07	3.32
50.07	3.319
50.07	3.319
50.07	3.319
50.07	3.319
50.07	3.319
50.06	3.319
50.07	3.319
50.06	3.319
50.06	3.319
50.06	3.317
50.06	3.317
50.06	3.317
50.06	3.319
50.06	3.319
50.06	3.319
50.05	3.319
50.06	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.05	3.319
50.04	3.319
50.05	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.05	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.04	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.319
50.03	3.317
50.03	3.317
50.03	3.317
50.03	3.317
50.03	3.317
50.03	3.319
50.03	3.317
50.02	3.317
50.03	3.317
50.03	3.317
50.03	3.319
50.03	3.317
50.03	3.317
50.03	3.317
50.02	3.317
50.02	3.319
50.02	3.319
50.02	3.319
50.02	3.317
50.02	3.319
50.02	3.317
50.01	3.317
50.02	3.317
50.02	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50.01	3.317
50	3.316
50	3.316
50	3.316
50.01	3.316
50.01	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
50	3.316
