Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
46.13	3.862
46.13	3.862
46.13	3.86
46.14	3.858
46.14	3.86
46.14	3.86
46.14	3.86
46.13	3.861
46.14	3.86
46.14	3.86
46.14	3.861
46.13	3.861
46.14	3.861
46.14	3.862
46.14	3.862
46.14	3.861
46.14	3.862
46.13	3.863
46.13	3.863
46.14	3.863
46.14	3.862
46.14	3.861
46.14	3.861
46.13	3.861
46.14	3.861
46.14	3.862
46.13	3.862
46.13	3.861
46.13	3.862
46.13	3.861
46.14	3.861
46.13	3.861
46.14	3.862
46.14	3.862
46.14	3.861
46.13	3.861
46.13	3.86
46.14	3.86
46.14	3.86
46.13	3.861
46.14	3.862
46.14	3.863
46.13	3.862
46.13	3.863
46.13	3.866
46.13	3.864
46.13	3.864
46.13	3.863
46.13	3.863
46.13	3.862
46.13	3.862
46.13	3.861
46.13	3.862
46.13	3.862
46.13	3.862
46.14	3.862
46.13	3.862
46.14	3.863
46.13	3.862
46.14	3.862
46.13	3.862
46.13	3.862
46.13	3.863
46.13	3.864
46.13	3.863
46.13	3.863
46.13	3.863
46.14	3.863
46.14	3.862
46.14	3.862
46.14	3.862
46.14	3.863
46.14	3.864
46.13	3.863
46.13	3.862
46.13	3.862
46.13	3.864
46.13	3.862
46.13	3.862
46.13	3.861
46.13	3.861
46.13	3.86
46.13	3.858
46.13	3.86
46.13	3.862
46.13	3.863
46.13	3.862
46.13	3.864
46.13	3.862
46.13	3.862
46.13	3.863
46.13	3.863
46.13	3.862
46.13	3.863
46.13	3.864
46.13	3.863
46.13	3.863
46.13	3.864
46.13	3.863
46.13	3.863
46.13	3.866
46.13	3.863
46.13	3.863
46.13	3.863
46.13	3.862
46.13	3.861
46.13	3.861
46.13	3.861
46.13	3.862
46.13	3.862
46.13	3.862
46.13	3.863
46.13	3.864
46.13	3.864
46.13	3.863
46.13	3.862
46.13	3.863
46.13	3.866
46.13	3.866
46.13	3.866
46.13	3.864
46.13	3.862
46.13	3.861
46.13	3.862
46.13	3.863
46.13	3.863
46.13	3.863
46.13	3.864
46.13	3.862
46.13	3.862
46.13	3.861
46.13	3.862
46.13	3.863
46.13	3.863
46.13	3.864
46.13	3.864
46.13	3.863
46.13	3.863
46.13	3.864
46.14	3.863
46.14	3.862
46.14	3.861
46.13	3.862
46.13	3.861
46.13	3.86
46.13	3.861
46.13	3.861
46.13	3.861
46.13	3.862
46.13	3.862
46.13	3.862
46.13	3.862
46.13	3.863
46.13	3.863
46.13	3.863
46.13	3.864
46.13	3.863
46.13	3.862
46.13	3.862
46.13	3.863
46.13	3.863
46.13	3.864
46.12	3.863
46.13	3.862
46.12	3.863
46.13	3.866
46.13	3.863
46.12	3.864
46.12	3.863
46.12	3.863
46.12	3.863
46.12	3.863
46.12	3.862
46.12	3.863
46.12	3.863
46.12	3.863
46.12	3.864
46.12	3.863
46.12	3.863
46.12	3.864
46.12	3.864
46.12	3.863
46.12	3.864
46.12	3.864
46.12	3.864
46.12	3.863
46.12	3.862
46.12	3.861
46.12	3.862
46.12	3.862
46.13	3.862
46.13	3.862
46.13	3.862
46.12	3.862
46.12	3.861
46.12	3.862
46.12	3.863
46.12	3.863
46.12	3.863
46.12	3.864
46.12	3.864
46.12	3.864
46.12	3.864
46.12	3.863
46.12	3.863
46.12	3.863
46.12	3.864
46.12	3.864
46.12	3.866
46.11	3.863
46.12	3.863
46.11	3.863
46.12	3.863
46.11	3.863
46.11	3.863
46.11	3.863
46.12	3.864
46.11	3.864
46.11	3.864
46.11	3.864
46.11	3.864
46.11	3.866
46.11	3.864
46.11	3.862
46.12	3.863
46.11	3.863
46.11	3.862
46.11	3.862
46.11	3.863
46.11	3.862
46.11	3.864
46.11	3.864
46.11	3.864
46.11	3.864
46.11	3.866
46.11	3.866
46.11	3.864
46.11	3.863
46.11	3.864
46.11	3.864
46.11	3.866
46.11	3.866
46.11	3.866
46.11	3.864
46.11	3.863
46.11	3.864
46.11	3.867
46.11	3.867
46.11	3.866
46.11	3.866
46.11	3.866
46.11	3.864
46.11	3.866
46.11	3.864
46.11	3.864
46.11	3.866
46.11	3.863
