Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.13	3.612
50.12	3.612
50.13	3.612
50.13	3.612
50.12	3.612
50.12	3.611
50.12	3.611
50.12	3.612
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.611
50.12	3.609
50.12	3.609
50.11	3.609
50.11	3.609
50.12	3.609
50.11	3.609
50.11	3.609
50.12	3.609
50.12	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.1	3.609
50.1	3.609
50.1	3.609
50.1	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.11	3.609
50.1	3.609
50.1	3.609
50.1	3.609
50.1	3.611
50.1	3.611
50.1	3.609
50.1	3.609
50.09	3.609
50.09	3.609
50.09	3.608
50.09	3.608
50.09	3.608
50.09	3.608
50.09	3.607
50.09	3.607
50.09	3.608
50.09	3.608
50.09	3.608
50.09	3.608
50.09	3.608
50.08	3.608
50.09	3.608
50.09	3.608
50.09	3.608
50.09	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.08	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.07	3.608
50.06	3.608
50.07	3.608
50.06	3.608
50.06	3.608
50.06	3.608
50.06	3.608
50.06	3.608
50.06	3.608
50.06	3.607
50.06	3.607
50.06	3.607
50.06	3.608
50.06	3.608
50.05	3.608
50.06	3.608
50.06	3.608
50.05	3.608
50.05	3.608
50.06	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.05	3.608
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.04	3.607
50.03	3.607
50.04	3.607
50.03	3.607
50.03	3.607
50.03	3.607
50.03	3.607
50.03	3.607
50.03	3.607
50.03	3.607
50.03	3.606
50.03	3.606
50.02	3.606
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.606
50.02	3.606
50.02	3.606
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.02	3.607
50.01	3.606
50.02	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.606
50.01	3.607
50.01	3.606
50	3.606
50	3.606
50	3.607
50	3.606
50	3.606
50	3.607
50	3.606
50	3.606
50	3.606
50	3.606
50	3.606
49.99	3.606
50	3.606
50	3.606
50	3.606
49.99	3.606
50	3.606
49.99	3.606
49.99	3.606
49.99	3.606
49.99	3.606
49.99	3.606
49.99	3.606
49.99	3.607
49.99	3.606
49.99	3.606
49.99	3.606
49.98	3.606
49.99	3.606
49.98	3.604
49.98	3.604
49.98	3.604
49.98	3.604
49.98	3.606
49.98	3.606
49.98	3.604
49.98	3.604
49.98	3.604
49.98	3.604
49.98	3.606
49.98	3.606
49.98	3.606
49.98	3.606
49.98	3.606
49.97	3.604
49.98	3.604
49.97	3.604
49.98	3.604
49.97	3.604
49.97	3.604
49.97	3.604
49.97	3.604
49.97	3.606
49.97	3.604
49.97	3.604
49.97	3.604
49.97	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.97	3.604
49.96	3.603
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.606
49.96	3.606
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.604
49.96	3.606
49.96	3.606
49.96	3.606
49.95	3.606
49.96	3.606
49.95	3.606
49.96	3.606
49.96	3.606
49.96	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.604
49.95	3.604
49.95	3.604
49.95	3.604
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.606
49.95	3.604
49.95	3.604
49.95	3.604
49.95	3.604
49.95	3.604
49.95	3.606
49.94	3.606
49.94	3.606
49.94	3.606
49.94	3.604
49.94	3.604
49.94	3.606
49.94	3.606
49.94	3.606
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.606
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.604
49.94	3.604
49.93	3.604
49.94	3.604
49.93	3.604
49.94	3.604
49.94	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.604
49.93	3.606
49.93	3.606
49.93	3.606
49.93	3.606
49.93	3.606
49.93	3.606
49.93	3.606
49.93	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.604
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.92	3.606
49.91	3.606
49.92	3.604
49.92	3.606
49.92	3.606
49.92	3.606
49.91	3.604
49.91	3.604
49.91	3.604
49.92	3.604
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.606
49.91	3.606
49.91	3.604
49.91	3.606
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.604
49.91	3.606
49.91	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.606
49.9	3.604
49.9	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.607
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.89	3.606
49.88	3.606
49.88	3.606
49.88	3.606
49.88	3.606
49.88	3.606
49.89	3.606
49.88	3.606
49.88	3.606
49.88	3.607
49.88	3.607
49.88	3.607
49.88	3.607
49.88	3.607
49.88	3.607
49.88	3.606
49.88	3.606
49.88	3.606
49.88	3.607
49.87	3.607
49.88	3.607
49.87	3.607
49.87	3.607
49.87	3.607
49.88	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.607
49.87	3.607
49.87	3.607
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.606
49.87	3.607
49.87	3.607
49.87	3.607
49.87	3.607
49.86	3.607
49.86	3.607
49.86	3.608
49.86	3.608
49.86	3.608
49.86	3.607
49.86	3.607
49.86	3.607
49.86	3.607
49.86	3.607
49.86	3.607
49.86	3.607
49.86	3.607
49.85	3.607
49.86	3.607
49.85	3.608
49.86	3.608
49.85	3.608
49.85	3.608
49.85	3.608
49.85	3.608
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.607
49.85	3.608
49.85	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.608
49.84	3.609
49.84	3.609
49.84	3.609
49.83	3.608
49.84	3.608
49.84	3.608
49.83	3.608
49.83	3.608
49.83	3.608
49.83	3.608
49.83	3.608
49.83	3.608
49.83	3.607
49.83	3.607
49.83	3.607
49.83	3.607
49.83	3.607
49.83	3.607
49.83	3.607
49.83	3.608
49.82	3.608
49.83	3.608
49.83	3.608
49.82	3.608
49.82	3.608
49.82	3.608
49.82	3.608
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.611
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.611
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.609
49.82	3.611
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.609
49.81	3.611
49.81	3.611
49.81	3.611
49.81	3.611
49.81	3.611
49.81	3.611
49.81	3.611
49.8	3.611
49.8	3.611
49.8	3.611
49.8	3.609
49.8	3.609
49.8	3.609
49.8	3.609
49.8	3.611
49.8	3.611
49.8	3.611
49.8	3.611
49.8	3.611
49.8	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.79	3.611
49.78	3.611
49.78	3.611
49.78	3.611
49.79	3.611
49.78	3.612
49.78	3.612
49.79	3.612
49.78	3.612
49.78	3.612
49.78	3.612
49.78	3.612
49.78	3.612
49.78	3.612
49.78	3.612
49.78	3.611
49.77	3.611
49.77	3.611
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.612
49.77	3.611
49.76	3.611
49.76	3.612
49.76	3.612
49.77	3.612
49.76	3.613
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.612
49.76	3.611
49.75	3.611
49.75	3.611
49.76	3.611
49.76	3.611
49.75	3.612
49.75	3.612
49.75	3.612
49.75	3.612
49.75	3.612
49.75	3.613
49.75	3.613
49.75	3.613
49.75	3.613
49.75	3.612
49.75	3.612
49.75	3.612
49.75	3.613
49.75	3.613
49.75	3.613
49.75	3.613
49.75	3.613
49.75	3.612
49.75	3.613
49.74	3.613
49.75	3.613
49.75	3.613
49.75	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.75	3.612
49.75	3.613
49.75	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.612
49.74	3.613
49.74	3.613
49.74	3.613
49.74	3.613
49.74	3.613
49.74	3.613
49.74	3.613
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.74	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.614
49.73	3.613
49.73	3.613
49.72	3.613
49.72	3.613
49.72	3.614
49.72	3.614
49.72	3.614
49.72	3.614
49.72	3.614
49.72	3.613
49.72	3.613
49.72	3.614
49.72	3.614
49.72	3.613
49.72	3.613
49.72	3.613
49.72	3.613
49.72	3.613
49.72	3.614
49.72	3.614
