Fine Temperature (C) - Plot 0	Photodiode Voltage (V) - Plot 0
45.97	3.803
45.97	3.803
45.98	3.803
45.98	3.805
45.98	3.805
45.98	3.803
45.98	3.803
45.98	3.803
45.99	3.803
45.99	3.805
45.99	3.803
45.99	3.805
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.805
45.99	3.805
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.806
45.99	3.806
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.806
45.99	3.806
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.806
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.806
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.805
45.99	3.803
45.99	3.803
45.99	3.803
45.99	3.805
45.99	3.805
45.99	3.805
45.98	3.805
45.99	3.806
45.99	3.806
45.99	3.805
45.99	3.805
45.98	3.806
45.99	3.806
45.98	3.806
45.99	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.807
45.98	3.807
45.98	3.807
45.99	3.807
45.99	3.807
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.807
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.806
45.98	3.807
45.98	3.806
45.98	3.806
45.98	3.807
45.98	3.807
45.98	3.806
45.97	3.806
45.98	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.98	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.98	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.97	3.806
45.97	3.805
45.97	3.806
45.97	3.805
45.97	3.805
45.97	3.805
45.97	3.806
45.97	3.806
45.97	3.806
45.97	3.807
45.97	3.807
45.97	3.807
45.97	3.807
45.97	3.807
45.97	3.807
45.96	3.806
45.96	3.806
45.96	3.806
45.96	3.806
45.97	3.807
45.96	3.807
45.97	3.808
45.97	3.807
45.97	3.807
45.97	3.806
45.97	3.805
45.97	3.805
45.96	3.805
45.96	3.805
45.96	3.805
45.96	3.805
45.96	3.805
45.96	3.806
45.96	3.806
45.96	3.806
45.96	3.806
45.96	3.807
45.96	3.806
45.96	3.806
45.96	3.806
45.96	3.807
45.96	3.807
45.96	3.806
45.95	3.807
45.95	3.807
45.95	3.808
45.95	3.807
45.95	3.807
45.95	3.807
45.95	3.807
45.95	3.807
45.95	3.807
45.95	3.807
45.95	3.806
45.95	3.806
45.95	3.806
45.95	3.805
45.95	3.806
45.95	3.806
45.95	3.806
45.95	3.806
45.95	3.806
45.95	3.807
45.95	3.806
45.95	3.806
45.95	3.806
45.95	3.807
45.94	3.807
45.94	3.807
45.95	3.807
45.94	3.808
45.94	3.807
45.94	3.807
45.94	3.808
45.94	3.808
45.94	3.808
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.808
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.808
45.94	3.808
45.94	3.808
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.807
45.94	3.806
45.94	3.807
45.94	3.808
45.94	3.808
45.94	3.808
45.94	3.808
45.94	3.808
45.93	3.808
45.94	3.807
45.93	3.808
45.93	3.807
45.93	3.807
45.94	3.808
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.806
45.93	3.806
45.93	3.806
45.93	3.806
45.93	3.807
45.93	3.806
45.93	3.807
45.93	3.807
45.93	3.808
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.807
45.93	3.808
45.92	3.808
45.92	3.807
45.92	3.807
45.92	3.807
45.93	3.807
45.93	3.807
45.93	3.808
45.92	3.807
45.92	3.808
45.92	3.808
45.92	3.81
45.92	3.81
45.92	3.808
45.92	3.81
45.92	3.81
45.92	3.808
45.92	3.808
45.92	3.808
45.92	3.807
45.92	3.807
45.92	3.807
45.92	3.808
45.92	3.808
45.92	3.808
45.92	3.808
45.92	3.808
45.92	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.81
45.91	3.81
45.92	3.81
45.91	3.81
45.91	3.808
45.91	3.808
45.91	3.81
45.91	3.81
45.91	3.81
45.91	3.81
45.91	3.81
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.91	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.81
45.9	3.81
45.9	3.808
45.9	3.81
45.9	3.81
45.9	3.81
45.9	3.81
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.807
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.808
45.9	3.81
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.807
45.89	3.807
45.89	3.807
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.808
45.89	3.81
45.89	3.81
45.89	3.808
45.88	3.81
45.89	3.81
45.88	3.81
45.88	3.81
45.89	3.81
45.88	3.81
45.89	3.81
45.89	3.81
45.88	3.81
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.89	3.808
45.88	3.807
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.81
45.88	3.81
45.88	3.81
45.88	3.808
45.88	3.81
45.88	3.808
45.88	3.81
45.87	3.81
45.87	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.88	3.808
45.87	3.808
45.88	3.808
45.87	3.808
45.87	3.808
45.88	3.808
45.87	3.808
45.87	3.808
45.87	3.81
45.87	3.808
45.87	3.81
45.87	3.81
45.87	3.808
45.87	3.808
45.87	3.808
45.87	3.808
45.86	3.808
45.87	3.808
45.87	3.808
45.86	3.808
45.86	3.808
45.86	3.808
45.87	3.808
45.87	3.808
45.87	3.808
45.87	3.81
